date_time,customer_id,item_id,Price,quantity,payment_amount
20210201,9,1,60,5,300
20210201,11,1,60,5,300
20210201,9,2,30,4,120
20210201,8,2,30,4,120
20210201,8,2,30,4,120
20210201,9,3,50,5,250
20210201,10,4,100,5,500
20210201,15,5,100,2,200
20210201,12,6,100,5,500
20210201,16,7,25,5,125
20210201,12,8,25,5,125
20210201,16,9,25,2,50
20210201,17,15,30,3,90
20210201,17,16,30,2,60
20210201,18,16,30,3,90
20210201,9,21,95,2,190
20210201,9,21,95,5,475
20210201,5,21,95,2,190
20210201,9,21,95,1,95
20210201,16,23,25,2,50
20210201,9,23,25,4,100
20210201,6,23,25,2,50
20210201,6,23,25,2,50
20210201,9,23,25,1,25
20210201,8,24,20,2,40
20210201,9,24,20,3,60
20210201,7,24,20,2,40
20210201,7,24,20,2,40
20210201,9,24,20,1,20
20210201,9,25,40,2,80
20210201,9,25,40,5,200
20210201,7,25,40,2,80
20210201,7,25,40,2,80
20210201,9,25,40,4,160
20210201,13,26,69,4,276
20210201,9,26,69,2,138
20210201,10,26,69,4,276
20210201,10,26,69,4,276
20210201,14,26,69,4,276
20210201,8,26,69,5,345
20210201,8,26,69,2,138
20210201,10,26,69,4,276
20210201,14,27,85,2,170
20210201,9,27,85,5,425
20210201,11,27,85,4,340
20210201,11,27,85,4,340
20210201,14,27,85,4,340
20210201,9,27,85,4,340
20210201,9,27,85,2,170
20210201,11,27,85,4,340
20210201,14,28,95,2,190
20210201,9,28,95,6,570
20210201,11,28,95,4,380
20210201,15,28,95,3,285
20210201,10,28,95,5,475
20210201,11,28,95,4,380
20210201,18,33,28,2,56
20210201,19,33,28,3,84
20210201,19,34,28,2,56
20210201,10,34,28,4,112
20210201,9,34,28,5,140
20210201,12,34,28,5,140
20210201,20,34,28,3,84
20210201,11,34,28,4,112
20210201,19,34,28,2,56
20210201,20,21,95,2,190
20210201,11,23,25,3,75
20210201,13,24,20,5,100
20210201,20,35,38,5,190
20210201,8,35,38,3,114
20210201,20,35,38,2,76
20210201,20,36,38,2,76
20210201,8,36,38,5,190
20210201,14,36,38,4,152
20210201,1,36,38,4,152
20210201,9,36,38,5,190
20210201,20,36,38,5,190
20210201,8,37,56,5,280
20210201,9,37,56,3,168
20210201,14,37,56,4,224
20210201,1,37,56,4,224
20210201,30,37,56,3,168
20210201,8,37,56,4,224
20210201,9,21,95,2,190
